Entrada_V1,Saida_V1,Entrada_V2,Saida_V2,Entrada_V3,Saida_V3,Entrada_V4,Saida_V4
37,1.491,67.18,1.627,97.03,1.73,127.1,1.865
36.97,1.518,67.06,1.59,97.57,1.692,126.9,1.826
37.04,1.524,67.09,1.599,96.89,1.705,127.1,1.837
37.1,1.52,66.98,1.598,96.89,1.704,127.1,1.838
37.04,1.529,67,1.6,97.1,1.705,126.9,1.842
